Trap_Zone,Species,Tot_wt_g,Bag_wt_g,Sq_wt_g,Sex,Age,Pit_tag_num,Ear_tag_num,Fur_dye_one,Fur_dye_two,Freeze_brand_one,Freeze_brand_two,Day,Month,Year,Start_time,End_time,Esc_released,Scrotal,Recap,Nipples
E,SCCA,860,,,M,A,,R001,R Hip,,R Hip,,6,9,2010,14:23,15:30,,slightly,,
F,SCCA,,,,M,A,,,R Hip,R Hip,R Back Leg,,6,9,2010,14:23,15:30,,slightly,,
B,SCCA,800,,,M,A,,R002,C Rump,,L Leg,,6,9,2010,14:23,15:30,,slightly,,
B,SCCA,700,,,M,A,,R003,L Leg,,L Middle,,6,9,2010,14:23,15:30,,slightly,,
B,SCCA,780,,,M,A,,R004,L Middle,,R Middle,,6,9,2010,14:23,15:30,,slightly,,
C,SCCA,950,,,F,A,,L005,B Middle,,L Hip,,8,9,2010,7:30,9:10,,,,developed
C,SCCA,750,,,F,A,,L007,L Hip,,C Rump,,8,9,2010,7:30,9:10,,,,not developed
C,SCCA,730,,,M,A,,R008,L Hip,,L Hip,,8,9,2010,7:30,9:10,,tiny,,
C,SCCA,710,,,M,SA,,,R Middle,,R Shoulder,,8,9,2010,7:30,9:10,escaped,,,
C,SCCA,780,,,F,,,,,,R Hip,,8,9,2010,7:30,9:10,escaped,,,
C,SCCA,790,,,F,A,,L009,R Hip,,R Leg,,8,9,2010,7:30,9:10,,,,large
C,SCCA,800,,,F,A,,L010,L Middle,C Rump,R Hip,,10,9,2010,13:30,15:10,,,,developed
C,SCCA,790,,,M,A,,R011,R Hip,R Hip,R Leg,,10,9,2010,13:30,15:10,,,,
C,SCCA,870,,,F,A,,,R Leg,,C Shoulder,,10,9,2010,13:30,15:10,escaped,,,developed
C,SCCA,,,,F,A,,L009,R Leg,,R Hip,,10,9,2010,13:30,15:10,released,,,
C,SCCA,710,,,M,A,,R012,L Hip,C Rump,C Middle,R Hip,10,9,2010,13:30,15:10,,semi,,
C,SCCA,750,,,F,A,,L013,C Shoulder,,C Rump,C Middle,10,9,2010,13:30,15:10,,,,small
A9,SCCA,,,,,,,R011,,,,,1,10,2010,13:30,16:00,released,,y,
A10,SCCA,760,,,F,,,L014,L Leg,R Leg,L Leg,,1,10,2010,13:30,16:00,,,,
A11,SCCA,850,,,M,,,R015,C. Middle ,C Middle,C Rump,R Leg,1,10,2010,13:30,16:00,,tube slip,,
C6,SCCA,800,,,M ,,,,,,R Middle,,1,10,2010,13:30,16:00,escaped,slightly,,
F3,SCCA,750,,,F,,,L016,R Hip,R Shoulder,R Leg,R Hip,1,10,2010,13:30,16:00,,,,small
A11,SCCA,870,,,M,,,R017,L Leg,L Shoulder,L Leg,L Hip,1,10,2010,13:30,16:00,,very,,
F5,SCCA,840,,,F,,,R018,L Middle,L Middle,L Leg,C Rump,1,10,2010,13:30,16:00,,,,
C6,SCCA,790,,,M,,,R019,R Leg,R Hip,C Rump,C Middle,1,10,2010,13:30,16:00,,very,,
C,SCCA,760,,,F,,L14,L16,,,,,8,10,2010,13:40,,,,y,
C,SCCA,760,,,F,,8/B no øø,L,L Knee,,L Leg,,8,10,2010,13:40,,,,y,
E,SCCA,820,,,M,,,R20,R Middle,,L Hip,R Hip,8,10,2010,13:40,,,,,
C,SCCA,740,160,,F,,,,L Leg,L Hip,R Middle,R Hip,8,10,2010,13:40,,escaped,,,
E,SCCA,760,,,F,,8/B no øø,,,,,,8,10,2010,13:40,,released,,,
,SCCA,850,160,690,M,SA,,R051,,,L Leg,,1,9,2011,9:00,11:30,,,y,
Java Field,SCCA,800,160,640,F,SA,,,C Rump,C Shoulder,R Leg,R Hip,1,9,2011,9:00,11:30,escaped,,,
,SCCA,920,160,760,F,A,,L007,L Hip,,C Rump,,1,9,2011,9:00,11:30,,,y,large
